* Measurement data measured by REW V5.20.4
* Source: Umik-1  Gain: 12dB  , MICROPHONE, L, volume: 1.000. Timing signal peak level -25.4 dBFS, measurement signal peak level -18.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jan 1, 2022 4:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0677 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: off axis
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 50.1709 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
115.356451, 70.798, -3.9221
115.722662, 70.819, -3.8475
116.088873, 70.847, -3.7830
116.455084, 70.882, -3.7300
116.821294, 70.923, -3.6896
117.187505, 70.971, -3.6631
117.553716, 71.025, -3.6514
117.919927, 71.085, -3.6553
118.286138, 71.151, -3.6758
118.652349, 71.223, -3.7137
119.018560, 71.301, -3.7701
119.384771, 71.384, -3.8462
119.750982, 71.472, -3.9430
120.117193, 71.566, -4.0620
120.483404, 71.664, -4.2048
120.849615, 71.767, -4.3731
121.215826, 71.875, -4.5691
121.582037, 71.987, -4.7950
121.948248, 72.103, -5.0535
122.314459, 72.222, -5.3472
122.680670, 72.344, -5.6794
123.046881, 72.469, -6.0532
123.413092, 72.596, -6.4722
123.779303, 72.724, -6.9396
124.145514, 72.854, -7.4590
124.511725, 72.983, -8.0337
124.877936, 73.112, -8.6669
125.244147, 73.239, -9.3612
125.610358, 73.364, -10.1191
125.976569, 73.486, -10.9424
126.342780, 73.605, -11.8323
126.708991, 73.719, -12.7891
127.075202, 73.827, -13.8127
127.441413, 73.930, -14.9018
127.807624, 74.027, -16.0543
128.173834, 74.116, -17.2674
128.540045, 74.197, -18.5372
128.906256, 74.270, -19.8591
129.272467, 74.334, -21.2277
129.638678, 74.389, -22.6367
130.004889, 74.435, -24.0794
130.371100, 74.471, -25.5483
130.737311, 74.497, -27.0353
131.103522, 74.513, -28.5325
131.469733, 74.519, -30.0311
131.835944, 74.515, -31.5225
132.202155, 74.501, -32.9979
132.568366, 74.478, -34.4491
132.934577, 74.445, -35.8676
133.300788, 74.403, -37.2455
133.666999, 74.353, -38.5756
134.033210, 74.294, -39.8512
134.399421, 74.228, -41.0665
134.765632, 74.156, -42.2165
135.131843, 74.078, -43.2972
135.498054, 73.995, -44.3058
135.864265, 73.909, -45.2407
136.230476, 73.820, -46.1011
136.596687, 73.730, -46.8881
136.962898, 73.639, -47.6033
137.329109, 73.550, -48.2500
137.695320, 73.463, -48.8327
138.061531, 73.380, -49.3568
138.427742, 73.302, -49.8289
138.793953, 73.230, -50.2565
139.160163, 73.166, -50.6481
139.526374, 73.110, -51.0128
139.892585, 73.063, -51.3605
140.258796, 73.027, -51.7010
140.625007, 73.000, -52.0452
140.991218, 72.984, -52.4034
141.357429, 72.979, -52.7861
141.723640, 72.984, -53.2036
142.089851, 72.998, -53.6658
142.456062, 73.022, -54.1818
142.822273, 73.054, -54.7603
143.188484, 73.094, -55.4091
143.554695, 73.140, -56.1348
143.920906, 73.191, -56.9435
144.287117, 73.247, -57.8401
144.653328, 73.305, -58.8282
145.019539, 73.365, -59.9109
145.385750, 73.426, -61.0896
145.751961, 73.487, -62.3654
146.118172, 73.546, -63.7379
146.484383, 73.603, -65.2062
146.850594, 73.657, -66.7686
147.216805, 73.708, -68.4225
147.583016, 73.755, -70.1650
147.949227, 73.796, -71.9926
148.315438, 73.833, -73.9010
148.681649, 73.864, -75.8862
149.047860, 73.890, -77.9437
149.414071, 73.910, -80.0689
149.780282, 73.924, -82.2571
150.146493, 73.932, -84.5038
150.512703, 73.934, -86.8043
150.878914, 73.930, -89.1544
151.245125, 73.921, -91.5499
151.611336, 73.907, -93.9867
151.977547, 73.887, -96.4612
152.343758, 73.862, -98.9698
152.709969, 73.832, -101.5093
153.076180, 73.799, -104.0767
153.442391, 73.760, -106.6692
153.808602, 73.719, -109.2841
154.174813, 73.673, -111.9192
154.541024, 73.625, -114.5720
154.907235, 73.573, -117.2407
155.273446, 73.520, -119.9232
155.639657, 73.464, -122.6176
156.005868, 73.406, -125.3222
156.372079, 73.348, -128.0354
156.738290, 73.288, -130.7557
157.104501, 73.229, -133.4816
157.470712, 73.169, -136.2118
157.836923, 73.110, -138.9449
158.203134, 73.052, -141.6799
158.569345, 72.996, -144.4156
158.935556, 72.942, -147.1510
159.301767, 72.891, -149.8853
159.667978, 72.844, -152.6175
160.034189, 72.800, -155.3470
160.400400, 72.761, -158.0734
160.766611, 72.727, -160.7958
161.132822, 72.698, -163.5140
161.499032, 72.676, -166.2276
161.865243, 72.660, -168.9363
162.231454, 72.652, -171.6399
162.597665, 72.650, -174.3382
162.963876, 72.657, -177.0311
163.330087, 72.671, -179.7186
163.696298, 72.694, 177.5993
164.062509, 72.725, 174.9226
164.428720, 72.764, 172.2513
164.794931, 72.812, 169.5851
165.161142, 72.868, 166.9242
165.527353, 72.933, 164.2682
165.893564, 73.005, 161.6170
166.259775, 73.085, 158.9705
166.625986, 73.172, 156.3283
166.992197, 73.266, 153.6903
167.358408, 73.366, 151.0563
167.724619, 73.473, 148.4259
168.090830, 73.585, 145.7988
168.457041, 73.702, 143.1748
168.823252, 73.823, 140.5535
169.189463, 73.948, 137.9346
169.555674, 74.077, 135.3176
169.921885, 74.209, 132.7021
170.288096, 74.342, 130.0880
170.654307, 74.478, 127.4746
171.020518, 74.615, 124.8616
171.386729, 74.753, 122.2488
171.752940, 74.891, 119.6355
172.119151, 75.029, 117.0215
172.485362, 75.166, 114.4066
172.851572, 75.302, 111.7903
173.217783, 75.437, 109.1726
173.583994, 75.570, 106.5532
173.950205, 75.701, 103.9319
174.316416, 75.829, 101.3090
174.682627, 75.955, 98.6844
175.048838, 76.077, 96.0585
175.415049, 76.196, 93.4315
175.781260, 76.311, 90.8040
176.147471, 76.422, 88.1766
176.513682, 76.529, 85.5502
176.879893, 76.632, 82.9255
177.246104, 76.730, 80.3039
177.612315, 76.823, 77.6864
177.978526, 76.911, 75.0746
178.344737, 76.994, 72.4699
178.710948, 77.072, 69.8741
179.077159, 77.145, 67.2889
179.443370, 77.213, 64.7164
179.809581, 77.275, 62.1583
180.175792, 77.331, 59.6168
180.542003, 77.383, 57.0939
180.908214, 77.429, 54.5917
181.274425, 77.470, 52.1122
181.640636, 77.506, 49.6577
182.006847, 77.537, 47.2297
182.373058, 77.563, 44.8302
182.739269, 77.585, 42.4608
183.105480, 77.602, 40.1231
183.471691, 77.615, 37.8184
183.837902, 77.624, 35.5478
184.204112, 77.629, 33.3121
184.570323, 77.630, 31.1122
184.936534, 77.628, 28.9483
185.302745, 77.623, 26.8207
185.668956, 77.615, 24.7294
186.035167, 77.605, 22.6741
186.401378, 77.592, 20.6544
186.767589, 77.577, 18.6696
187.133800, 77.560, 16.7190
187.500011, 77.541, 14.8016
187.866222, 77.521, 12.9164
188.232433, 77.500, 11.0623
188.598644, 77.477, 9.2382
188.964855, 77.453, 7.4429
189.331066, 77.428, 5.6754
189.697277, 77.401, 3.9345
190.063488, 77.374, 2.2195
190.429699, 77.346, 0.5295
190.795910, 77.316, -1.1363
191.162121, 77.285, -2.7783
191.528332, 77.253, -4.3967
191.894543, 77.220, -5.9919
192.260754, 77.185, -7.5637
192.626965, 77.149, -9.1117
192.993176, 77.112, -10.6355
193.359387, 77.072, -12.1345
193.725598, 77.031, -13.6076
194.091809, 76.987, -15.0538
194.458020, 76.942, -16.4718
194.824231, 76.895, -17.8602
195.190441, 76.845, -19.2172
195.556652, 76.793, -20.5413
195.922863, 76.738, -21.8306
196.289074, 76.681, -23.0830
196.655285, 76.621, -24.2966
197.021496, 76.559, -25.4694
197.387707, 76.494, -26.5993
197.753918, 76.427, -27.6843
198.120129, 76.358, -28.7222
198.486340, 76.286, -29.7114
198.852551, 76.211, -30.6498
199.218762, 76.135, -31.5357
199.584973, 76.056, -32.3677
199.951184, 75.976, -33.1442
200.317395, 75.894, -33.8643
200.683606, 75.810, -34.5267
201.049817, 75.725, -35.1309
201.416028, 75.639, -35.6763
201.782239, 75.552, -36.1629
202.148450, 75.465, -36.5908
202.514661, 75.378, -36.9603
202.880872, 75.291, -37.2725
203.247083, 75.204, -37.5284
203.613294, 75.119, -37.7295
203.979505, 75.034, -37.8777
204.345716, 74.952, -37.9753
204.711927, 74.871, -38.0248
205.078138, 74.792, -38.0292
205.444349, 74.716, -37.9918
205.810560, 74.643, -37.9161
206.176771, 74.574, -37.8061
206.542981, 74.507, -37.6659
206.909192, 74.445, -37.5000
207.275403, 74.387, -37.3129
207.641614, 74.332, -37.1094
208.007825, 74.282, -36.8943
208.374036, 74.236, -36.6725
208.740247, 74.195, -36.4488
209.106458, 74.158, -36.2280
209.472669, 74.125, -36.0146
209.838880, 74.097, -35.8134
210.205091, 74.072, -35.6284
210.571302, 74.051, -35.4636
210.937513, 74.034, -35.3226
211.303724, 74.020, -35.2087
211.669935, 74.009, -35.1248
212.036146, 74.001, -35.0733
212.402357, 73.996, -35.0564
212.768568, 73.992, -35.0757
213.134779, 73.990, -35.1324
213.500990, 73.989, -35.2274
213.867201, 73.990, -35.3611
214.233412, 73.991, -35.5336
214.599623, 73.993, -35.7447
214.965834, 73.995, -35.9937
215.332045, 73.997, -36.2798
215.698256, 73.998, -36.6020
216.064467, 73.999, -36.9587
216.430678, 73.999, -37.3486
216.796889, 73.999, -37.7699
217.163100, 73.997, -38.2208
217.529310, 73.993, -38.6993
217.895521, 73.989, -39.2036
218.261732, 73.983, -39.7315
218.627943, 73.975, -40.2809
218.994154, 73.966, -40.8500
219.360365, 73.955, -41.4365
219.726576, 73.943, -42.0385
220.092787, 73.928, -42.6541
220.458998, 73.912, -43.2813
220.825209, 73.895, -43.9184
221.191420, 73.876, -44.5637
221.557631, 73.855, -45.2155
221.923842, 73.833, -45.8723
222.290053, 73.809, -46.5326
222.656264, 73.784, -47.1953
223.022475, 73.757, -47.8591
223.388686, 73.729, -48.5229
223.754897, 73.700, -49.1857
224.121108, 73.670, -49.8467
224.487319, 73.638, -50.5051
