* Measurement data measured by REW V5.20.4
* Source: Dec 16 Filtered
* Format: 
* Dated: Dec 18, 2021 7:00:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 111.9 dB
* Note: ; Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset PK       Fc   316.0 Hz  Gain -12.30 dB  Q  5.000 PK       Fc   182.0 Hz  Gain  -9.00 dB  Q 10.000
* Measurement: EQ Dec 16
* Smoothing: 1/3 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 50.13199 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
110.694122, 105.949, -110.5735
111.030579, 106.073, -120.5688
111.367035, 106.199, -130.5875
111.703491, 106.328, -140.6161
112.039948, 106.458, -150.6409
112.376404, 106.590, -160.6483
112.712860, 106.723, -170.6249
113.049316, 106.856, 179.4423
113.385773, 106.991, 169.5659
113.722229, 107.125, 159.7580
114.058685, 107.260, 150.0303
114.395142, 107.394, 140.3936
114.731598, 107.528, 130.8584
115.068054, 107.662, 121.4341
115.404510, 107.795, 112.1297
115.740967, 107.927, 102.9532
116.077423, 108.058, 93.9119
116.413879, 108.188, 85.0125
116.750336, 108.317, 76.2608
117.086792, 108.444, 67.6619
117.423248, 108.570, 59.2203
117.759705, 108.695, 50.9396
118.096161, 108.818, 42.8231
118.432617, 108.940, 34.8730
118.769073, 109.060, 27.0913
119.105530, 109.178, 19.4792
119.441986, 109.295, 12.0377
119.778442, 109.410, 4.7668
120.114899, 109.523, -2.3336
120.451355, 109.635, -9.2640
120.787811, 109.745, -16.0254
121.124268, 109.854, -22.6193
121.460724, 109.960, -29.0472
121.797180, 110.066, -35.3112
122.133636, 110.169, -41.4134
122.470093, 110.272, -47.3564
122.806549, 110.372, -53.1430
123.143005, 110.471, -58.7759
123.479462, 110.569, -64.2584
123.815918, 110.665, -69.5934
124.152374, 110.760, -74.7845
124.488831, 110.853, -79.8351
124.825287, 110.945, -84.7486
125.161743, 111.035, -89.5287
125.498199, 111.124, -94.1790
125.834656, 111.211, -98.7033
126.171112, 111.297, -103.1052
126.507568, 111.382, -107.3885
126.844025, 111.465, -111.5569
127.180481, 111.547, -115.6141
127.516937, 111.627, -119.5637
127.853394, 111.706, -123.4095
128.189850, 111.783, -127.1550
128.526306, 111.858, -130.8037
128.862762, 111.932, -134.3589
129.199219, 112.004, -137.8243
129.535675, 112.075, -141.2031
129.872131, 112.144, -144.4984
130.208588, 112.211, -147.7134
130.545044, 112.276, -150.8508
130.881500, 112.340, -153.9141
131.217957, 112.401, -156.9054
131.554413, 112.461, -159.8276
131.890869, 112.518, -162.6835
132.227325, 112.573, -165.4750
132.563782, 112.627, -168.2046
132.900238, 112.678, -170.8745
133.236694, 112.726, -173.4865
133.573151, 112.773, -176.0425
133.909607, 112.817, -178.5442
134.246063, 112.859, 179.0066
134.582520, 112.898, 176.6088
134.918976, 112.935, 174.2607
135.255432, 112.970, 171.9614
135.591888, 113.002, 169.7097
135.928345, 113.031, 167.5046
136.264801, 113.058, 165.3455
136.601257, 113.082, 163.2312
136.937714, 113.104, 161.1611
137.274170, 113.123, 159.1349
137.610626, 113.139, 157.1519
137.947083, 113.153, 155.2117
138.283539, 113.164, 153.3140
138.619995, 113.173, 151.4583
138.956451, 113.179, 149.6445
139.292908, 113.183, 147.8723
139.629364, 113.184, 146.1416
139.965820, 113.183, 144.4521
140.302277, 113.179, 142.8037
140.638733, 113.173, 141.1963
140.975189, 113.165, 139.6296
141.311646, 113.154, 138.1038
141.648102, 113.141, 136.6184
141.984558, 113.126, 135.1732
142.321014, 113.109, 133.7682
142.657471, 113.090, 132.4031
142.993927, 113.069, 131.0774
143.330383, 113.046, 129.7910
143.666840, 113.022, 128.5435
144.003296, 112.996, 127.3345
144.339752, 112.968, 126.1633
144.676208, 112.939, 125.0297
145.012665, 112.908, 123.9327
145.349121, 112.877, 122.8721
145.685577, 112.844, 121.8467
146.022034, 112.810, 120.8560
146.358490, 112.775, 119.8989
146.694946, 112.740, 118.9749
147.031403, 112.704, 118.0826
147.367859, 112.667, 117.2212
147.704315, 112.630, 116.3894
148.040771, 112.593, 115.5862
148.377228, 112.555, 114.8103
148.713684, 112.517, 114.0604
149.050140, 112.480, 113.3354
149.386597, 112.442, 112.6338
149.723053, 112.405, 111.9543
150.059509, 112.368, 111.2954
150.395966, 112.332, 110.6560
150.732422, 112.296, 110.0344
151.068878, 112.261, 109.4292
151.405334, 112.226, 108.8394
151.741791, 112.193, 108.2631
152.078247, 112.160, 107.6992
152.414703, 112.128, 107.1464
152.751160, 112.097, 106.6033
153.087616, 112.068, 106.0687
153.424072, 112.040, 105.5415
153.760529, 112.012, 105.0203
154.096985, 111.986, 104.5042
154.433441, 111.962, 103.9919
154.769897, 111.939, 103.4827
155.106354, 111.917, 102.9756
155.442810, 111.896, 102.4695
155.779266, 111.877, 101.9636
156.115723, 111.859, 101.4575
156.452179, 111.843, 100.9501
156.788635, 111.828, 100.4409
157.125092, 111.814, 99.9294
157.461548, 111.801, 99.4150
157.798004, 111.790, 98.8975
158.134460, 111.781, 98.3760
158.470917, 111.772, 97.8503
158.807373, 111.765, 97.3203
159.143829, 111.759, 96.7855
159.480286, 111.754, 96.2458
159.816742, 111.750, 95.7012
160.153198, 111.748, 95.1511
160.489655, 111.746, 94.5957
160.826111, 111.745, 94.0349
161.162567, 111.746, 93.4685
161.499023, 111.747, 92.8967
161.835480, 111.749, 92.3193
162.171936, 111.752, 91.7366
162.508392, 111.755, 91.1484
162.844849, 111.760, 90.5549
163.181305, 111.764, 89.9563
163.517761, 111.770, 89.3525
